STATISTIK PEMOTONGAN TERNAK 2012;Tidak ada
STATISTIK PEMOTONGAN TERNAK 2012;Tidak ada
PROFIL USAHA KONSTRUKSI PERORANGAN 2013;1
KONSTRUKSI DALAM ANGKA 2013;1
PENGEMBANGAN MODEL SOSIAL EKONOMI : PENGGUNAAN METODE GWR UNTUK ANALISIS DATA SOSIAL DAN EKONOMI;Tidak ada
DIREKTORI PERUSAHAAN KEHUTANAN 2013;Tidak ada
STATISTIK DAERAH KOTA BITUNG 2014;1
SURVEI DEMOGRAFI DAN KESEHATAN INDONESIA 1997 : PEDOMAN KANTOR STATISTIK PROPINSI;1
KECAMATAN WENANG DALAM ANGKA 2008;1
KECAMATAN SARIO DALAM ANGKA 2008;1
KECAMATAN MAPANGET DALAM ANGKA 2008;1
KECAMATAN BUNAKEN DALAM ANGKA 2009;1
STATISTIK NILAI TUKAR PETANI PROVINSI SULAWESI UTARA 2010;2
STATISTIK INDUSTRI BESAR SEDANG PROVINSI SULAWESI UTARA 2010;2
STATISTIK INDONESIA 2008;Tidak ada
INDONESIA YOUNG ADULT REPRODUCTIVE HEALT SURVEY 2007;1
SENSUS PERTANIAN 2013 HASIL PENCACAHAN LENGKAP PROVINSI SULAWESI UTARA;Tidak ada
SURVEI DEMOGRAFI DAN KESEHATAN INDONESIA 1994 : PEDOMAN PEWAWANCARA;1
STATISTIK NILAI TUKAR PETANI PROVINSI SULAWESI UTARA 2010;Tidak ada
STATISTIK KESEJAHTERAAN RAKYAT PROVINSI SULAWESI UTARA 2013;Tidak ada
STATISTIK INDONESIA 2014;Tidak ada
BUNAKEN DALAM ANGKA 2012;1
PEDOMAN PENCACAHAN DAN PEMERIKSAAN SURVEI KEBUTUHAN DATA 2013;3
SURVEI DEMOGRAFI DAN KESEHATAN INDONESIA 1997;1
TUMINTING DALAM ANGKA 2012;1
MALALAYANG DALAM ANGKA 2012;1
