INDIKATOR KONSTRUKSI TRIWULAN III 2013;Tidak ada;2 eksemplar3
STATISTIK PERTAMBANGAN BAHAN GALIAN INDONESIA 2018;Tidak ada;1 eksemplar3
STATISTIK LISTRIK 2013-2018;Tidak ada;1 eksemplar1
STATISTIK KEUANGAN PEMERINTAHAN KABUPATEN/KOTA 2006-2007;Tidak ada;1 eksemplar2
EVALUASI STATISTIK HARGA PRODUSEN GABAH 2014;Tidak ada;0 eksemplar2
STATISTIK KEUANGAN PEMERINTAHAN KABUPATEN/KOTA 2008-2009;Tidak ada;0 eksemplar2
STATISTIK KEUANGAN PEMERINTAHAN KABUPATEN/KOTA 2009-2010;Tidak ada;0 eksemplar2
DIAGRAM TIMBANG NILAI TUKAR PETANI (SUBSEKTOR TANAMAN PERIKANAN) 2017 BUKU 5;Tidak ada;0 eksemplar2
DIAGRAM TIMBANG NILAI TUKAR PETANI (SUBSEKTOR TANAMAN PERIKANAN) 2017 BUKU 5;Tidak ada;0 eksemplar2
STATISTIK KEUANGAN PEMERINTAHAN DESA 2008;Tidak ada;1 eksemplar4
STATISTIK KEUANGAN BADAN USAHA MILIK NEGARA (BUMN) DAN BADAN USAHA MILIK DAERAH (BUMD) 2012;Tidak ada;1 eksemplar3
STATISTIK KEUANGAN PEMERINTAHAN PROVINSI 2006-2009;Tidak ada;1 eksemplar2
STATISTIK LEMBAGA KEUANGAN 2014;Tidak ada;1 eksemplar2
STATISTIK KEUANGAN BADAN USAHA MILIK NEGARA (BUMN) DAN BADAN USAHA MILIK DAERAH (BUMD) 2011;Tidak ada;0 eksemplar2
STATISTIK KEUANGAN BADAN USAHA MILIK NEGARA (BUMN) DAN BADAN USAHA MILIK DAERAH (BUMD) 2009;Tidak ada;1 eksemplar2
PERKEMBANGAN MINGGUAN HARGA ECERAN BEBERAPA BAHAN POKOK DI IBUKOTA PROVINSI SELURUH INDONESIA JULI-DESEMBER 2014;Tidak ada;1 eksemplar3
PERKEMBANGAN MINGGUAN HARGA ECERAN BEBERAPA BAHAN POKOK DI IBUKOTA PROVINSI SELURUH INDONESIA JULI-DESEMBER 2014;Tidak ada;1 eksemplar3
HARGA KONSUMEN BEBERAPA BARANG DAN JASA KELOMPOK SANDANG DI 66 KOTA DI INDONESIA 2012;Tidak ada;1 eksemplar2
INDEKS HARGA PERDAGANGAN BESAR INDONESIA 2014 , 2010=100;Tidak ada;0 eksemplar2
HARGA KONSUMEN BEBERAPA BARANG DAN JASA KELOMPOK SANDANG DI 66 KOTA DI INDONESIA 2013;Tidak ada;1 eksemplar2
INDEKS HARGA PERDAGANGAN BESAR (IHPB) INDONESIA (2010=100) 2016;Tidak ada;0 eksemplar2
HARGA KONSUMEN BEBERAPA BARANG DAN JASA KELOMPOK SANDANG DI 66 KOTA DI INDONESIA 2009;Tidak ada;1 eksemplar2
INDEKS HARGA PRODUSEN INDONESIA 2016;Tidak ada;1 eksemplar3
